file, jumlah, tak_terdeteksi, false_positive, benar_deteksi, jumlah_terdeteksi, persentase_terdeteksi, persentase_false_positive, akurasi
01326.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01336.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01337.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01338.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01339.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01341.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01342.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01350.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01355.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01358.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01369.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01371.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
01372.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01374.jpg, 3, 1, 0, 2, 2, 66.66666666666666, 0.0, 100.0
01378.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01380.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01383.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01384.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01386.jpg, 3, 1, 0, 2, 2, 66.66666666666666, 0.0, 100.0
01387.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01396.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01399.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01400.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01401.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01402.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01403.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01404.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01412.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01417.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01420.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01425.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01432.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01435.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01437.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01438.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01439.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01442.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01443.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01444.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01449.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01454.jpg, 3, 0, 1, 3, 4, 100.0, 25.0, 100.0
01456.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01458.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01463.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01465.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01467.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01470.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01471.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01472.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01473.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01482.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01486.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01487.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01488.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01489.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01491.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01497.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01500.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01506.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
01507.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01509.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01510.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01514.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01517.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01523.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01530.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01539.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01542.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01551.jpg, 1, 0, 0, 0, 1, 100.0, 0.0, 0.0
01557.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01563.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01564.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01568.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01569.jpg, 2, 2, 1, 0, 1, 0.0, 100.0, None
01570.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01575.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01576.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
01578.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01595.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01596.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01601.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01602.jpg, 5, 4, 0, 1, 1, 20.0, 0.0, 100.0
01606.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
01608.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01609.jpg, 2, 2, 1, 0, 1, 0.0, 100.0, None
01610.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01616.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01617.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01622.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
01625.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
